team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc614,1661,0,0,0,0,20,0.0
frc617,1368,0,0,0,0,20,0.0
frc619,1690,0,0,0,0,20,0.0
frc620,1588,2,2,0,0,20,0.1
frc623,1555,3,1,1,1,20,0.15
frc624,1682,10,4,6,0,20,0.5
frc639,1553,5,0,1,4,20,0.25
frc640,1418,0,0,0,0,20,0.0
frc647,1444,1,0,0,1,19,0.05263157894736842
frc648,1477,0,0,0,0,20,0.0
frc649,1753,1,0,0,1,20,0.05
frc653,1385,0,0,0,0,20,0.0
frc662,1560,0,0,0,0,20,0.0
frc663,1560,1,0,0,1,20,0.05
frc668,1443,1,0,1,0,20,0.05
frc670,1557,0,0,0,0,18,0.0
frc677,1493,0,0,0,0,19,0.0
frc686,1528,0,0,0,0,20,0.0
frc687,1646,0,0,0,0,20,0.0
frc691,1530,0,0,0,0,20,0.0
frc694,1737,5,2,2,1,20,0.25
frc695,1421,0,0,0,0,20,0.0
frc696,1600,2,1,1,0,20,0.1
frc698,1455,0,0,0,0,20,0.0
frc701,1559,2,0,0,2,20,0.1
frc702,1599,0,0,0,0,20,0.0
frc703,1550,1,1,0,0,20,0.05
frc704,1465,1,0,1,0,16,0.0625
frc706,1528,0,0,0,0,20,0.0
frc708,1589,1,1,0,0,20,0.05
frc709,1579,0,0,0,0,20,0.0
frc714,1506,1,1,0,0,20,0.05
frc716,1581,1,0,0,1,20,0.05
frc743,1489,1,0,0,1,19,0.05263157894736842
frc744,1690,3,0,2,1,15,0.2
frc746,1525,1,0,0,0,7,0.14285714285714285
frc747,1671,0,0,0,0,4,0.0
frc751,1473,1,0,0,1,17,0.058823529411764705
frc752,1469,1,0,0,1,18,0.05555555555555555
frc753,1528,2,1,1,0,19,0.10526315789473684
frc766,1465,6,0,2,4,19,0.3157894736842105
frc771,1524,1,0,0,1,19,0.05263157894736842
frc772,1560,2,2,0,0,19,0.10526315789473684
frc773,1394,0,0,0,0,9,0.0
frc781,1444,4,2,2,0,19,0.21052631578947367
frc801,1448,1,0,1,0,19,0.05263157894736842
frc806,1475,0,0,0,0,19,0.0
frc810,1518,1,0,0,1,19,0.05263157894736842
frc811,1518,0,0,0,0,19,0.0
frc812,1571,1,0,0,1,19,0.05263157894736842
frc815,1524,1,0,0,1,19,0.05263157894736842
frc816,1504,1,0,0,1,19,0.05263157894736842
frc818,1543,2,1,0,1,19,0.10526315789473684
frc829,1693,3,0,2,1,19,0.15789473684210525
frc830,1497,3,0,0,3,19,0.15789473684210525
frc832,1557,3,0,1,2,19,0.15789473684210525
frc834,1598,2,1,1,0,19,0.10526315789473684
frc835,1492,1,0,0,1,19,0.05263157894736842
frc836,1728,4,1,2,1,19,0.21052631578947367
frc839,1449,1,1,0,0,19,0.05263157894736842
frc840,1401,1,0,1,0,15,0.06666666666666667
frc841,1501,0,0,0,0,19,0.0
frc842,1708,7,2,5,0,19,0.3684210526315789
frc846,1729,2,0,2,0,19,0.10526315789473684
frc847,1560,1,0,0,1,19,0.05263157894736842
frc848,1454,0,0,0,0,19,0.0
frc852,1517,2,0,1,1,19,0.10526315789473684
frc854,1534,0,0,0,0,19,0.0
frc857,1535,0,0,0,0,19,0.0
frc858,1512,2,0,0,2,19,0.10526315789473684
frc862,1676,6,0,2,4,19,0.3157894736842105
frc865,1578,3,1,1,1,18,0.16666666666666666
frc867,1480,0,0,0,0,18,0.0
frc868,1669,10,6,3,1,19,0.5263157894736842
frc870,1775,3,0,0,3,19,0.15789473684210525
frc871,1542,0,0,0,0,19,0.0
frc876,1636,3,0,3,0,19,0.15789473684210525
frc877,1421,0,0,0,0,19,0.0
frc884,1450,1,1,0,0,19,0.05263157894736842
frc885,1555,0,0,0,0,18,0.0
frc888,1575,0,0,0,0,19,0.0
frc894,1483,1,0,1,0,19,0.05263157894736842
frc900,1453,4,1,1,1,19,0.21052631578947367
frc904,1615,6,2,0,4,19,0.3157894736842105
frc907,1571,0,0,0,0,18,0.0
frc910,1773,9,5,3,1,19,0.47368421052631576
frc919,1336,0,0,0,0,18,0.0
frc930,1757,0,0,0,0,19,0.0
frc931,1522,2,0,1,1,19,0.10526315789473684
frc932,1621,4,1,0,3,17,0.23529411764705882
frc935,1593,7,2,3,2,19,0.3684210526315789
frc937,1407,0,0,0,0,19,0.0
frc938,1415,0,0,0,0,18,0.0
frc945,1506,0,0,0,0,19,0.0
frc948,1692,1,0,0,1,19,0.05263157894736842
frc949,1426,1,0,1,0,19,0.05263157894736842
frc955,1457,3,0,2,1,19,0.15789473684210525
frc957,1572,0,0,0,0,19,0.0
frc967,1684,2,0,1,1,19,0.10526315789473684
frc968,1518,7,1,4,2,19,0.3684210526315789
frc971,1847,11,5,2,4,19,0.5789473684210527
frc972,1517,1,0,0,1,11,0.09090909090909091
frc973,1835,13,3,8,2,19,0.6842105263157895
frc977,1658,0,0,0,0,12,0.0
frc980,1463,2,0,1,1,19,0.10526315789473684
frc987,1820,23,7,13,3,19,1.2105263157894737
frc988,1352,0,0,0,0,17,0.0
frc991,1575,0,0,0,0,19,0.0
frc996,1482,0,0,0,0,18,0.0
frc997,1681,3,1,2,0,19,0.15789473684210525
frc999,1529,1,0,0,1,19,0.05263157894736842
frc1002,1559,0,0,0,0,18,0.0
frc1011,1633,4,0,4,0,18,0.2222222222222222
frc1014,1493,0,0,0,0,18,0.0
frc1018,1577,1,0,1,0,18,0.05555555555555555
frc1023,1768,13,8,3,2,18,0.7222222222222222
frc1024,1641,13,3,9,1,18,0.7222222222222222
frc1025,1761,3,1,2,0,13,0.23076923076923078
frc1027,1504,1,0,0,1,18,0.05555555555555555
frc1038,1578,2,0,2,0,18,0.1111111111111111
frc1051,1562,1,0,0,1,18,0.05555555555555555
frc1056,1535,0,0,0,0,9,0.0
frc1058,1611,6,3,3,0,18,0.3333333333333333
frc1065,1550,2,1,0,0,17,0.11764705882352941
frc1071,1673,2,0,1,1,17,0.11764705882352941
frc1072,1506,2,0,0,2,18,0.1111111111111111
frc1073,1642,3,0,2,1,18,0.16666666666666666
