preChamps,match_key,r1,r2,r3,b1,b2,b3,winner
1,2019abca_qm9,frc6188,frc4774,frc5015,frc1482,frc5078,frc6841,0
1,2019abca_sf1m1,frc2122,frc359,frc6841,frc4334,frc6351,frc5078,0
1,2019abca_sf1m2,frc2122,frc359,frc6841,frc4334,frc6351,frc5078,0
1,2019abca_sf2m1,frc5015,frc6485,frc7246,frc6823,frc4774,frc3729,0
1,2019abca_sf2m2,frc5015,frc6485,frc7246,frc6823,frc4774,frc3729,0
1,2019alhu_f1m1,frc234,frc16,frc4013,frc364,frc4451,frc7072,1
1,2019alhu_f1m2,frc234,frc16,frc4013,frc364,frc4451,frc7072,1
1,2019alhu_qf1m1,frc234,frc16,frc4013,frc3959,frc4924,frc2815,0
1,2019alhu_qf1m2,frc234,frc16,frc4013,frc3959,frc4924,frc2815,0
1,2019alhu_qf2m1,frc1421,frc3814,frc2183,frc2556,frc6366,frc4265,1
1,2019alhu_qf2m2,frc1421,frc3814,frc2183,frc2556,frc6366,frc4265,0
1,2019alhu_qf2m3,frc1421,frc3814,frc2183,frc2556,frc6366,frc4265,0
1,2019alhu_qf3m1,frc364,frc4451,frc7072,frc2783,frc5410,frc63,0
1,2019alhu_qf3m2,frc364,frc4451,frc7072,frc2783,frc5410,frc63,0
1,2019alhu_qf4m1,frc27,frc342,frc3792,frc456,frc4965,frc538,0
1,2019alhu_qf4m2,frc27,frc342,frc3792,frc456,frc4965,frc538,1
1,2019alhu_qf4m3,frc27,frc342,frc3792,frc456,frc4965,frc538,0
1,2019alhu_qm1,frc4451,frc442,frc1466,frc1319,frc3959,frc342,1
1,2019alhu_qm10,frc27,frc342,frc442,frc3792,frc5410,frc4764,0
1,2019alhu_qm11,frc7525,frc1319,frc7428,frc4924,frc2183,frc16,1
1,2019alhu_qm12,frc1421,frc7484,frc5058,frc7111,frc6404,frc4451,1
1,2019alhu_qm13,frc4965,frc7512,frc3319,frc538,frc5045,frc3139,0
1,2019alhu_qm14,frc63,frc234,frc4265,frc3843,frc4740,frc6157,0
1,2019alhu_qm15,frc7072,frc547,frc2556,frc364,frc5858,frc27,1
1,2019alhu_qm16,frc1466,frc4533,frc2973,frc4013,frc7693,frc2783,0
1,2019alhu_qm17,frc6366,frc6145,frc7446,frc3959,frc3814,frc5616,1
1,2019alhu_qm18,frc7313,frc6107,frc6937,frc34,frc5005,frc456,1
1,2019alhu_qm19,frc4306,frc4265,frc3319,frc234,frc442,frc2815,1
1,2019alhu_qm2,frc7512,frc7111,frc7428,frc6145,frc4306,frc6107,1
1,2019alhu_qm20,frc538,frc4924,frc2556,frc4764,frc7111,frc63,0
1,2019alhu_qm21,frc7072,frc5858,frc2183,frc2783,frc6404,frc5045,1
1,2019alhu_qm22,frc6145,frc5410,frc4740,frc1319,frc547,frc4965,1
1,2019alhu_qm23,frc3139,frc3959,frc27,frc7525,frc7313,frc4013,0
1,2019alhu_qm24,frc456,frc4306,frc3792,frc34,frc5616,frc7693,0
1,2019alhu_qm25,frc364,frc342,frc3814,frc2973,frc7428,frc6107,0
1,2019alhu_qm26,frc6157,frc16,frc7446,frc6366,frc5058,frc1466,0
1,2019alhu_qm27,frc7484,frc3843,frc7512,frc2815,frc4533,frc1421,1
1,2019alhu_qm28,frc4451,frc4265,frc538,frc6937,frc5005,frc4013,0
1,2019alhu_qm29,frc7111,frc7072,frc34,frc442,frc7525,frc4764,0
1,2019alhu_qm3,frc16,frc3814,frc1421,frc2556,frc5858,frc7693,0
1,2019alhu_qm30,frc6404,frc3959,frc4965,frc456,frc2973,frc4924,0
1,2019alhu_qm31,frc7446,frc4306,frc7313,frc16,frc342,frc2783,1
1,2019alhu_qm32,frc1421,frc6107,frc2183,frc3843,frc3319,frc234,0
1,2019alhu_qm33,frc4533,frc3792,frc1319,frc5045,frc6366,frc364,1
1,2019alhu_qm34,frc5616,frc6145,frc5005,frc3139,frc7484,frc2556,1
1,2019alhu_qm35,frc5058,frc6937,frc5858,frc7428,frc27,frc4740,1
1,2019alhu_qm36,frc6157,frc2815,frc1466,frc7693,frc5410,frc4451,1
1,2019alhu_qm37,frc3814,frc442,frc7512,frc63,frc547,frc7525,0
1,2019alhu_qm38,frc7072,frc4924,frc4013,frc3792,frc6107,frc3843,0
1,2019alhu_qm39,frc4533,frc7446,frc4265,frc1319,frc2556,frc7111,1
1,2019alhu_qm4,frc2783,frc3792,frc5005,frc4965,frc4764,frc6157,1
1,2019alhu_qm40,frc5045,frc4764,frc5616,frc6937,frc16,frc2973,1
1,2019alhu_qm41,frc4740,frc3139,frc5005,frc5410,frc2783,frc1421,1
1,2019alhu_qm42,frc1466,frc6145,frc7484,frc4306,frc2183,frc364,1
1,2019alhu_qm43,frc6366,frc7693,frc547,frc6404,frc7313,frc538,0
1,2019alhu_qm44,frc3959,frc7512,frc6157,frc5858,frc3319,frc34,0
1,2019alhu_qm45,frc342,frc4965,frc234,frc3814,frc63,frc5058,0
1,2019alhu_qm46,frc2815,frc27,frc4451,frc7428,frc456,frc5045,0
1,2019alhu_qm47,frc1421,frc6937,frc4924,frc442,frc2183,frc6145,0
1,2019alhu_qm48,frc364,frc7525,frc5410,frc5616,frc3843,frc6404,0
1,2019alhu_qm49,frc34,frc1466,frc3792,frc7111,frc538,frc5858,0
1,2019alhu_qm5,frc4924,frc7525,frc5045,frc5410,frc4265,frc456,0
1,2019alhu_qm50,frc4265,frc1319,frc7484,frc3814,frc3319,frc7313,0
1,2019alhu_qm51,frc456,frc7072,frc342,frc4013,frc6157,frc7428,0
1,2019alhu_qm52,frc2556,frc4451,frc6366,frc7512,frc2783,frc234,0
1,2019alhu_qm53,frc5058,frc2815,frc4306,frc4764,frc2973,frc3139,0
1,2019alhu_qm54,frc5005,frc4533,frc3959,frc4740,frc16,frc547,0
1,2019alhu_qm55,frc7693,frc27,frc6107,frc7446,frc4965,frc63,1
1,2019alhu_qm56,frc6145,frc456,frc3814,frc538,frc1466,frc7072,0
1,2019alhu_qm57,frc7428,frc234,frc5410,frc7313,frc7512,frc3792,0
1,2019alhu_qm58,frc342,frc4013,frc2973,frc6366,frc34,frc1421,1
1,2019alhu_qm59,frc4306,frc4764,frc1319,frc547,frc6157,frc6404,1
1,2019alhu_qm6,frc547,frc7313,frc34,frc2183,frc3319,frc5058,0
1,2019alhu_qm60,frc3843,frc7693,frc63,frc4451,frc5045,frc5058,1
1,2019alhu_qm61,frc2183,frc5616,frc2815,frc5005,frc7111,frc4965,1
1,2019alhu_qm62,frc6107,frc7446,frc5858,frc4533,frc3139,frc442,0
1,2019alhu_qm63,frc3319,frc2556,frc364,frc4740,frc6937,frc7525,0
1,2019alhu_qm64,frc7484,frc2783,frc27,frc4265,frc4924,frc3959,0
1,2019alhu_qm65,frc16,frc4013,frc6404,frc547,frc234,frc6145,0
1,2019alhu_qm66,frc7512,frc5058,frc7693,frc1319,frc5005,frc7072,1
1,2019alhu_qm67,frc7446,frc4764,frc456,frc5858,frc1421,frc3843,1
1,2019alhu_qm68,frc6157,frc3139,frc5410,frc538,frc2973,frc2183,1
1,2019alhu_qm69,frc3959,frc5045,frc6937,frc6107,frc7111,frc342,1
1,2019alhu_qm7,frc3843,frc3139,frc6937,frc6404,frc6366,frc7484,1
1,2019alhu_qm70,frc1466,frc364,frc16,frc27,frc34,frc4265,0
1,2019alhu_qm71,frc2783,frc63,frc6366,frc3319,frc5616,frc7525,0
1,2019alhu_qm72,frc4924,frc4451,frc3814,frc4533,frc4740,frc4306,0
1,2019alhu_qm73,frc7428,frc7484,frc7313,frc2556,frc442,frc4965,1
1,2019alhu_qm74,frc2815,frc6937,frc547,frc3792,frc7446,frc7072,1
1,2019alhu_qm75,frc7111,frc364,frc3139,frc234,frc456,frc16,1
1,2019alhu_qm76,frc2973,frc2783,frc34,frc27,frc1319,frc3843,1
1,2019alhu_qm77,frc5616,frc4924,frc4740,frc7512,frc1466,frc342,1
1,2019alhu_qm78,frc5005,frc5045,frc442,frc3814,frc4013,frc6366,1
1,2019alhu_qm79,frc5058,frc3792,frc6404,frc4265,frc2556,frc6107,1
1,2019alhu_qm8,frc234,frc538,frc4533,frc2973,frc7072,frc5616,0
1,2019alhu_qm80,frc2183,frc7428,frc4764,frc7693,frc7484,frc3959,1
1,2019alhu_qm81,frc63,frc7313,frc2815,frc5858,frc6145,frc4533,0
1,2019alhu_qm82,frc4965,frc538,frc7525,frc4451,frc1421,frc4306,1
1,2019alhu_qm83,frc3319,frc6157,frc7111,frc5410,frc3814,frc27,1
1,2019alhu_qm84,frc442,frc5058,frc2783,frc364,frc456,frc7512,1
1,2019alhu_qm85,frc5045,frc3843,frc547,frc3139,frc1466,frc4924,1
1,2019alhu_qm86,frc5858,frc234,frc4013,frc6937,frc7693,frc1319,0
1,2019alhu_qm87,frc4764,frc6366,frc7072,frc4265,frc4965,frc2183,1
1,2019alhu_qm88,frc6107,frc16,frc538,frc7484,frc4740,frc2815,0
1,2019alhu_qm89,frc5005,frc6404,frc3319,frc342,frc7428,frc4533,1
1,2019alhu_qm9,frc4740,frc364,frc63,frc4013,frc2815,frc7446,0
1,2019alhu_qm90,frc2556,frc63,frc5410,frc3959,frc34,frc4306,0
1,2019alhu_qm91,frc3792,frc2973,frc6145,frc7525,frc4451,frc7446,1
1,2019alhu_qm92,frc5616,frc1421,frc7111,frc7313,frc6157,frc4924,0
1,2019alhu_sf1m1,frc234,frc16,frc4013,frc1421,frc3814,frc2183,0
1,2019alhu_sf1m2,frc234,frc16,frc4013,frc1421,frc3814,frc2183,0
1,2019alhu_sf2m1,frc364,frc4451,frc7072,frc27,frc342,frc3792,0
1,2019alhu_sf2m2,frc364,frc4451,frc7072,frc27,frc342,frc3792,0
1,2019arli_f1m1,frc7767,frc4087,frc4603,frc2992,frc3039,frc2080,1
1,2019arli_f1m2,frc7767,frc4087,frc4603,frc2992,frc3039,frc2080,1
1,2019arli_qf1m1,frc3937,frc5006,frc1982,frc7766,frc6586,frc5568,0
1,2019arli_qf1m2,frc3937,frc5006,frc1982,frc7766,frc6586,frc5568,0
1,2019arli_qf2m1,frc5437,frc3616,frc5002,frc7767,frc4087,frc4603,1
1,2019arli_qf2m2,frc5437,frc3616,frc5002,frc7767,frc4087,frc4603,1
1,2019arli_qf3m1,frc1939,frc323,frc6131,frc3991,frc6886,frc2164,0
1,2019arli_qf3m2,frc1939,frc323,frc6131,frc3991,frc6886,frc2164,1
1,2019arli_qf3m3,frc1939,frc323,frc6131,frc3991,frc6886,frc2164,0
1,2019arli_qf4m1,frc2992,frc3039,frc2080,frc4336,frc6640,frc6055,1
1,2019arli_qf4m2,frc2992,frc3039,frc2080,frc4336,frc6640,frc6055,0
1,2019arli_qf4m3,frc2992,frc3039,frc2080,frc4336,frc6640,frc6055,0
1,2019arli_qm1,frc5809,frc5006,frc6186,frc3991,frc6886,frc1723,0
1,2019arli_qm10,frc1939,frc7263,frc5002,frc7766,frc2080,frc6055,1
1,2019arli_qm11,frc6186,frc6840,frc7868,frc7878,frc6855,frc7767,1
1,2019arli_qm12,frc1723,frc7430,frc6404,frc323,frc5437,frc7908,1
1,2019arli_qm13,frc6131,frc7910,frc7804,frc2992,frc7467,frc3991,1
1,2019arli_qm14,frc5454,frc7896,frc3039,frc7255,frc6886,frc7842,0
1,2019arli_qm15,frc7766,frc7459,frc5006,frc6586,frc7123,frc5809,0
1,2019arli_qm16,frc3946,frc6640,frc2164,frc5002,frc1982,frc4603,0
1,2019arli_qm17,frc2080,frc7702,frc2357,frc7075,frc4087,frc4336,1
1,2019arli_qm18,frc5729,frc7483,frc7263,frc7655,frc7846,frc3937,1
1,2019arli_qm19,frc5965,frc5568,frc3011,frc7798,frc3616,frc7568,1
1,2019arli_qm2,frc1939,frc6055,frc7255,frc1982,frc7430,frc7483,0
1,2019arli_qm20,frc7767,frc4576,frc3039,frc7106,frc5006,frc7430,0
1,2019arli_qm21,frc6055,frc6840,frc6640,frc2164,frc7766,frc7896,0
1,2019arli_qm22,frc7878,frc4336,frc323,frc7075,frc5454,frc1939,0
1,2019arli_qm23,frc4603,frc6186,frc7910,frc7483,frc7842,frc7459,0
1,2019arli_qm24,frc2992,frc7568,frc3937,frc3616,frc3946,frc2080,0
1,2019arli_qm25,frc7846,frc7106,frc7123,frc6404,frc5965,frc5809,1
1,2019arli_qm26,frc6886,frc6586,frc5002,frc4576,frc3011,frc7467,0
1,2019arli_qm27,frc1723,frc5729,frc7702,frc7798,frc7255,frc7263,0
1,2019arli_qm28,frc1982,frc2357,frc5437,frc6131,frc7655,frc6855,0
1,2019arli_qm29,frc3991,frc7804,frc5568,frc4087,frc7868,frc7908,0
1,2019arli_qm3,frc7908,frc4603,frc7568,frc7123,frc6855,frc4576,1
1,2019arli_qm30,frc1939,frc6404,frc5006,frc4603,frc2164,frc2992,0
1,2019arli_qm31,frc3946,frc7123,frc7075,frc6586,frc7767,frc6055,1
1,2019arli_qm32,frc5965,frc4576,frc1723,frc7483,frc2080,frc7910,1
1,2019arli_qm33,frc3616,frc4336,frc1982,frc5437,frc7896,frc7459,0
1,2019arli_qm34,frc6886,frc7568,frc6640,frc7804,frc5729,frc7106,0
1,2019arli_qm35,frc323,frc3937,frc6840,frc7255,frc3991,frc7702,0
1,2019arli_qm36,frc5454,frc7655,frc7430,frc4087,frc5002,frc6186,1
1,2019arli_qm37,frc7766,frc7868,frc7798,frc7842,frc7908,frc6131,1
1,2019arli_qm38,frc7878,frc5809,frc5568,frc2357,frc7263,frc7467,0
1,2019arli_qm39,frc6855,frc7846,frc6640,frc3011,frc3039,frc1939,1
1,2019arli_qm4,frc7767,frc7798,frc2164,frc7804,frc7878,frc5437,0
1,2019arli_qm40,frc7767,frc5965,frc2080,frc7702,frc6404,frc1982,0
1,2019arli_qm41,frc4576,frc6186,frc323,frc2992,frc6055,frc5729,0
1,2019arli_qm42,frc7106,frc1723,frc4603,frc6131,frc7896,frc4087,0
1,2019arli_qm43,frc7467,frc7908,frc7798,frc5006,frc3937,frc2357,1
1,2019arli_qm44,frc7804,frc3616,frc7846,frc5002,frc7878,frc7075,0
1,2019arli_qm45,frc6840,frc6855,frc7842,frc4336,frc5568,frc7430,1
1,2019arli_qm46,frc7568,frc3991,frc6586,frc7655,frc7255,frc2164,0
1,2019arli_qm47,frc5809,frc3039,frc7766,frc7868,frc3946,frc7483,0
1,2019arli_qm48,frc7263,frc7910,frc7123,frc3011,frc5437,frc6886,1
1,2019arli_qm49,frc7459,frc6404,frc4576,frc5454,frc3937,frc7804,1
1,2019arli_qm5,frc3937,frc4087,frc3616,frc7910,frc323,frc3039,1
1,2019arli_qm50,frc7842,frc2357,frc2992,frc1723,frc5002,frc7767,0
1,2019arli_qm51,frc7908,frc3616,frc6055,frc4336,frc7655,frc7106,0
1,2019arli_qm52,frc7896,frc1939,frc6840,frc4087,frc5809,frc5729,1
1,2019arli_qm53,frc7075,frc1982,frc7766,frc7910,frc5568,frc7568,1
1,2019arli_qm54,frc2080,frc7798,frc7846,frc6640,frc323,frc6586,1
1,2019arli_qm55,frc3946,frc7459,frc5454,frc3991,frc7263,frc6855,0
1,2019arli_qm56,frc7430,frc4603,frc5437,frc7868,frc7702,frc6886,0
1,2019arli_qm57,frc3011,frc6131,frc7878,frc7255,frc5006,frc7483,1
1,2019arli_qm58,frc3039,frc7123,frc5965,frc2164,frc6186,frc7467,0
1,2019arli_qm59,frc6640,frc7804,frc1982,frc6586,frc1723,frc4336,0
1,2019arli_qm6,frc6586,frc5965,frc7868,frc6840,frc2357,frc5454,1
1,2019arli_qm60,frc7842,frc4576,frc3991,frc2357,frc1939,frc3616,1
1,2019arli_qm61,frc6886,frc7767,frc7655,frc6855,frc323,frc5568,0
1,2019arli_qm62,frc5006,frc2080,frc6840,frc7106,frc7910,frc7459,0
1,2019arli_qm63,frc7483,frc5002,frc6131,frc7123,frc7568,frc7896,0
1,2019arli_qm64,frc7263,frc7075,frc2992,frc3039,frc4603,frc7798,1
1,2019arli_qm65,frc5437,frc3946,frc4087,frc7846,frc6186,frc7255,0
1,2019arli_qm66,frc3937,frc7766,frc7878,frc6055,frc7430,frc5965,1
1,2019arli_qm67,frc7908,frc2164,frc5809,frc7702,frc5454,frc3011,0
1,2019arli_qm68,frc7868,frc5729,frc3991,frc2080,frc7467,frc6404,0
